<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;
SPFB.RTS-12.18;1;14.09.2018;10:01;107290,00;107770,00;107290,00;107720,00;137;;;
SPFB.RTS-12.18;1;14.09.2018;10:02;107760,00;107800,00;107690,00;107800,00;141;;;
SPFB.RTS-12.18;1;14.09.2018;10:03;107780,00;107780,00;107610,00;107610,00;47;;;
SPFB.RTS-12.18;1;14.09.2018;10:04;107600,00;107670,00;107570,00;107650,00;103;;;
SPFB.RTS-12.18;1;14.09.2018;10:05;107650,00;107650,00;107490,00;107570,00;31;;;
SPFB.RTS-12.18;1;14.09.2018;10:06;107600,00;107600,00;107550,00;107570,00;13;;;
SPFB.RTS-12.18;1;14.09.2018;10:07;107600,00;107660,00;107600,00;107600,00;26;;;
SPFB.RTS-12.18;1;14.09.2018;10:08;107620,00;107670,00;107620,00;107670,00;40;;;
SPFB.RTS-12.18;1;14.09.2018;10:09;107640,00;107690,00;107640,00;107690,00;6;;;
SPFB.RTS-12.18;1;14.09.2018;10:10;107650,00;107650,00;107650,00;107650,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;10:11;107660,00;107660,00;107610,00;107640,00;6;;;
SPFB.RTS-12.18;1;14.09.2018;10:12;107650,00;107650,00;107650,00;107650,00;5;;;
SPFB.RTS-12.18;1;14.09.2018;10:13;107660,00;107710,00;107660,00;107710,00;7;;;
SPFB.RTS-12.18;1;14.09.2018;10:14;107750,00;107850,00;107740,00;107850,00;61;;;
SPFB.RTS-12.18;1;14.09.2018;10:15;107880,00;107900,00;107850,00;107880,00;38;;;
SPFB.RTS-12.18;1;14.09.2018;10:16;107900,00;107910,00;107790,00;107860,00;81;;;
SPFB.RTS-12.18;1;14.09.2018;10:17;107880,00;107910,00;107870,00;107910,00;92;;;
SPFB.RTS-12.18;1;14.09.2018;10:18;107920,00;107990,00;107920,00;107950,00;136;;;
SPFB.RTS-12.18;1;14.09.2018;10:19;107930,00;107930,00;107780,00;107850,00;67;;;
SPFB.RTS-12.18;1;14.09.2018;10:20;107870,00;107890,00;107810,00;107820,00;30;;;
SPFB.RTS-12.18;1;14.09.2018;10:21;107890,00;107890,00;107840,00;107840,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;10:22;107820,00;107820,00;107800,00;107800,00;15;;;
SPFB.RTS-12.18;1;14.09.2018;10:23;107780,00;107820,00;107780,00;107820,00;112;;;
SPFB.RTS-12.18;1;14.09.2018;10:24;107810,00;107810,00;107740,00;107740,00;28;;;
SPFB.RTS-12.18;1;14.09.2018;10:25;107720,00;107720,00;107560,00;107560,00;69;;;
SPFB.RTS-12.18;1;14.09.2018;10:26;107620,00;107690,00;107580,00;107680,00;27;;;
SPFB.RTS-12.18;1;14.09.2018;10:27;107690,00;107750,00;107690,00;107750,00;13;;;
SPFB.RTS-12.18;1;14.09.2018;10:28;107810,00;107880,00;107810,00;107880,00;5;;;
SPFB.RTS-12.18;1;14.09.2018;10:29;107870,00;107940,00;107820,00;107940,00;87;;;
SPFB.RTS-12.18;1;14.09.2018;10:30;107900,00;107900,00;107840,00;107850,00;8;;;
SPFB.RTS-12.18;1;14.09.2018;10:31;107840,00;107840,00;107780,00;107780,00;36;;;
SPFB.RTS-12.18;1;14.09.2018;10:32;107800,00;107830,00;107790,00;107830,00;23;;;
SPFB.RTS-12.18;1;14.09.2018;10:33;107820,00;107900,00;107820,00;107900,00;20;;;
SPFB.RTS-12.18;1;14.09.2018;10:34;107870,00;107870,00;107870,00;107870,00;3;;;
SPFB.RTS-12.18;1;14.09.2018;10:35;107880,00;107940,00;107880,00;107940,00;13;;;
SPFB.RTS-12.18;1;14.09.2018;10:36;107930,00;108020,00;107920,00;108020,00;53;;;
SPFB.RTS-12.18;1;14.09.2018;10:37;108000,00;108000,00;107910,00;107920,00;91;;;
SPFB.RTS-12.18;1;14.09.2018;10:38;107890,00;107960,00;107880,00;107960,00;23;;;
SPFB.RTS-12.18;1;14.09.2018;10:39;108000,00;108090,00;108000,00;108020,00;44;;;
SPFB.RTS-12.18;1;14.09.2018;10:40;108060,00;108260,00;108060,00;108160,00;110;;;
SPFB.RTS-12.18;1;14.09.2018;10:41;108190,00;108230,00;108170,00;108190,00;9;;;
SPFB.RTS-12.18;1;14.09.2018;10:42;108160,00;108190,00;108130,00;108190,00;174;;;
SPFB.RTS-12.18;1;14.09.2018;10:43;108150,00;108150,00;108080,00;108100,00;42;;;
SPFB.RTS-12.18;1;14.09.2018;10:44;108070,00;108100,00;108040,00;108100,00;71;;;
SPFB.RTS-12.18;1;14.09.2018;10:45;108100,00;108100,00;108030,00;108030,00;31;;;
SPFB.RTS-12.18;1;14.09.2018;10:46;108020,00;108040,00;107860,00;108000,00;158;;;
SPFB.RTS-12.18;1;14.09.2018;10:47;107980,00;108010,00;107980,00;108010,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;10:48;108010,00;108010,00;108010,00;108010,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;10:49;107990,00;107990,00;107900,00;107940,00;40;;;
SPFB.RTS-12.18;1;14.09.2018;10:50;107930,00;107940,00;107930,00;107930,00;3;;;
SPFB.RTS-12.18;1;14.09.2018;10:51;107970,00;107970,00;107960,00;107960,00;5;;;
SPFB.RTS-12.18;1;14.09.2018;10:52;107950,00;107950,00;107810,00;107810,00;43;;;
SPFB.RTS-12.18;1;14.09.2018;10:53;107820,00;107840,00;107820,00;107830,00;21;;;
SPFB.RTS-12.18;1;14.09.2018;10:54;107830,00;107840,00;107830,00;107830,00;6;;;
SPFB.RTS-12.18;1;14.09.2018;10:55;107790,00;107790,00;107740,00;107780,00;27;;;
SPFB.RTS-12.18;1;14.09.2018;10:56;107770,00;107800,00;107740,00;107800,00;21;;;
SPFB.RTS-12.18;1;14.09.2018;10:57;107840,00;107900,00;107840,00;107900,00;28;;;
SPFB.RTS-12.18;1;14.09.2018;10:58;107950,00;107950,00;107930,00;107930,00;4;;;
SPFB.RTS-12.18;1;14.09.2018;10:59;107910,00;107910,00;107860,00;107870,00;7;;;
SPFB.RTS-12.18;1;14.09.2018;11:00;107860,00;107860,00;107860,00;107860,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;11:01;107820,00;107840,00;107750,00;107780,00;98;;;
SPFB.RTS-12.18;1;14.09.2018;11:02;107770,00;107770,00;107690,00;107690,00;185;;;
SPFB.RTS-12.18;1;14.09.2018;11:03;107710,00;107720,00;107680,00;107710,00;30;;;
SPFB.RTS-12.18;1;14.09.2018;11:04;107720,00;107720,00;107660,00;107670,00;88;;;
SPFB.RTS-12.18;1;14.09.2018;11:05;107670,00;107710,00;107670,00;107710,00;13;;;
SPFB.RTS-12.18;1;14.09.2018;11:06;107670,00;107670,00;107670,00;107670,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;11:07;107670,00;107670,00;107660,00;107660,00;14;;;
